fid,Date,City 1,Country 1,City 2,Country 2,Working,Source,"City, Country","City, Country:1",lat:1,lng
1,1 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
2,2 Jan 1950,Paris,France,,,y,,"Paris, France","Paris, France",48.859116,2.331839
3,3 Jan 1950,Paris,France,,,y,"SIU Box 14 folder 6; SIU Box 39 folder 1","Paris, France","Paris, France",48.859116,2.331839
4,4 Jan 1950,Paris,France,,,y,"SIU Box 14 folder 6; SIU Box 39 folder 2","Paris, France","Paris, France",48.859116,2.331839
5,5 Jan 1950,Paris,France,,,y,"SIU Box 14 folder 6; SIU Box 39 folder 3","Paris, France","Paris, France",48.859116,2.331839
6,6 Jan 1950,Paris,France,,,y,"SIU Box 14 folder 6; SIU Box 39 folder 4","Paris, France","Paris, France",48.859116,2.331839
7,7 Jan 1950,Paris,France,,,y,,"Paris, France","Paris, France",48.859116,2.331839
8,8 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
9,9 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
10,10 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
11,11 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
12,12 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
13,13 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
14,14 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
15,15 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
16,16 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
17,17 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
18,18 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
19,19 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
20,20 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
21,21 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
22,22 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
23,23 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
24,24 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
25,25 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
26,26 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
27,27 Jan 1950,Paris,France,,,y,"SIU Box 14 folder 6, 7","Paris, France","Paris, France",48.859116,2.331839
28,28 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
29,29 Jan 1950,Paris,France,,,y,SIU Box 14 folder 6,"Paris, France","Paris, France",48.859116,2.331839
30,30 Jan 1950,Paris,France,Cairo ,Egypt,n,TWA flight timetable Nov. 1949 from the collection of Bj�rn Larsson,"Paris, France","Paris, France",48.859116,2.331839
31,31 Jan 1950,Cairo,Egypt,,,n,SIU Box 14 folder 8,"Cairo, Egypt","Cairo, Egypt",30.06263,31.24967
32,1 Feb 1950,Cairo,Egypt,,,n,SIU Box 14 folder 8,"Cairo, Egypt","Cairo, Egypt",30.06263,31.24967
33,2 Feb 1950,Cairo,Egypt,,,n,SIU Box 14 folder 8,"Cairo, Egypt","Cairo, Egypt",30.06263,31.24967
34,3 Feb 1950,Cairo,Egypt,,,n,SIU Box 14 folder 8,"Cairo, Egypt","Cairo, Egypt",30.06263,31.24967
35,4 Feb 1950,Cairo,Egypt,Rome,Italy,n,"SIU Box 14 folder 8; AirFrance flight timetable May 1950 from the collection of Bj�rn Larsson","Cairo, Egypt","Cairo, Egypt",30.06263,31.24967
36,5 Feb 1950,Rome,Italy,Turin,Italy,n,SIU Box 14 folder 8,"Rome, Italy","Rome, Italy",41.878243,12.52809
37,6 Feb 1950,Turin,Italy,,,y,,"Turin, Italy","Turin, Italy",45.059405,7.652514
38,7 Feb 1950,Turin,Italy,,,y,,"Turin, Italy","Turin, Italy",45.059405,7.652514
39,8 Feb 1950,Genoa,Italy,,,y,SIU Box 39 folder 1,"Genoa, Italy","Genoa, Italy",44.42332,8.879033
40,8 Feb 1950,Genoa,Italy,,,y,SIU Box 39 folder 1,"Genoa, Italy","Genoa, Italy",44.42332,8.879033
41,9 Feb 1950,Genoa,Italy,,,y,SIU Box 39 folder 1,"Genoa, Italy","Genoa, Italy",44.42332,8.879033
42,9 Feb 1950,Genoa,Italy,,,y,SIU Box 39 folder 1,"Genoa, Italy","Genoa, Italy",44.42332,8.879033
43,10 Feb 1950,,,,,n,SIU Box 39 folder 1,", ",,,
44,11 Feb 1950,Naples,Italy,,,y,SIU Box 39 folder 1,"Naples, Italy","Naples, Italy",40.862838,14.237375
45,12 Feb 1950,Naples,Italy,,,y,SIU Box 39 folder 1,"Naples, Italy","Naples, Italy",40.862838,14.237375
46,13 Feb 1950,Rome,Italy,,,y,SIU Box 14 folder 8,"Rome, Italy","Rome, Italy",41.878243,12.52809
47,14 Feb 1950,Rome,Italy,,,y,SIU Box 14 folder 8,"Rome, Italy","Rome, Italy",41.878243,12.52809
48,15 Feb 1950,Rome,Italy,,,y,SIU Box 14 folder 8,"Rome, Italy","Rome, Italy",41.878243,12.52809
49,16 Feb 1950,Rome,Italy,,,y,SIU Box 14 folder 8,"Rome, Italy","Rome, Italy",41.878243,12.52809
50,17 Feb 1950,Rome,Italy,,,y,SIU Box 14 folder 8,"Rome, Italy","Rome, Italy",41.878243,12.52809
51,18 Feb 1950,Rome,Italy,,,y,SIU Box 14 folder 8,"Rome, Italy","Rome, Italy",41.878243,12.52809
52,19 Feb 1950,Rome,Italy,,,y,SIU Box 14 folder 8,"Rome, Italy","Rome, Italy",41.878243,12.52809
53,20 Feb 1950,Rome,Italy,,,y,SIU Box 14 folder 8,"Rome, Italy","Rome, Italy",41.878243,12.52809
54,21 Feb 1950,Rome,Italy,,,y,SIU Box 14 folder 8,"Rome, Italy","Rome, Italy",41.878243,12.52809
55,22 Feb 1950,,,,,n,,", ",,,
56,23 Feb 1950,Florence,Italy,,,n,SIU Box 14 folder 8,"Florence, Italy","Florence, Italy",43.779175,11.249456
57,24 Feb 1950,Florence,Italy,,,n,SIU Box 14 folder 8,"Florence, Italy","Florence, Italy",43.779175,11.249456
58,25 Feb 1950,Florence,Italy,,,n,SIU Box 14 folder 8,"Florence, Italy","Florence, Italy",43.779175,11.249456
59,26 Feb 1950,Florence,Italy,,,n,SIU Box 14 folder 8,"Florence, Italy","Florence, Italy",43.779175,11.249456
60,27 Feb 1950,Bologna,Italy,,,y,SIU Box 14 folder 8,"Bologna, Italy","Bologna, Italy",44.503639,11.344398
61,28 Feb 1950,Bologna,Italy,,,y,SIU Box 14 folder 8,"Bologna, Italy","Bologna, Italy",44.503639,11.344398
62,1 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
63,2 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
64,3 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
65,4 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
66,5 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
67,6 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
68,7 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
69,8 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
70,9 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
71,10 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
72,11 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
73,12 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
74,13 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
75,14 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
76,15 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
77,16 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
78,17 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
79,18 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
80,19 Mar 1950,Milan,Italy,,,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
81,20 Mar 1950,Milan,Italy,Venice,Italy,y,"SIU Box 15 folder 1, 2","Milan, Italy","Milan, Italy",45.473702,9.170685
82,21 Mar 1950,Venice,Italy,,,y,SIU Box 15 folder 1,"Venice, Italy","Venice, Italy",45.437934,12.331647
83,22 Mar 1950,Venice,Italy,,,y,SIU Box 15 folder 1,"Venice, Italy","Venice, Italy",45.437934,12.331647
84,23 Mar 1950,Venice,Italy,Milan,Italy,y,"SIU Box 15 folder 1, 2","Venice, Italy","Venice, Italy",45.437934,12.331647
85,24 Mar 1950,Milan,Italy,Piacenza,Italy,y,SIU Box 15 folder 1,"Milan, Italy","Milan, Italy",45.473702,9.170685
86,25 Mar 1950,Piacenza,Italy,Brescia,Italy,y,SIU Box 15 folder 1,"Piacenza, Italy","Piacenza, Italy",45.045211,9.704932
87,26 Mar 1950,Brescia,Italy,Biella,Italy,y,"SIU Box 15 folder 1; box 15 folder 6","Brescia, Italy","Brescia, Italy",45.544468,10.208239
88,27 Mar 1950,Biella,Italy,Genoa,Italy,y,,"Biella, Italy","Biella, Italy",45.563427,8.053752
89,28 Mar 1950,Genoa,Italy,,,n,SIU Box 14 folder 6,"Genoa, Italy","Genoa, Italy",44.42332,8.879033
90,28 Mar 1950,Genoa,Italy,,,n,SIU Box 14 folder 6,"Genoa, Italy","Genoa, Italy",44.42332,8.879033
91,29 Mar 1950,Milan,Italy,Paris,France,n,"SIU Box 15 folder 2; Box 39 folder 1","Milan, Italy","Milan, Italy",45.473702,9.170685
92,30 Mar 1950,Paris,France,,,n,,"Paris, France","Paris, France",48.859116,2.331839
93,31 Mar 1950,Paris,France,,,n,,"Paris, France","Paris, France",48.859116,2.331839
94,1 Apr 1950,Paris,France,,,n,"SIU Box 15 folder 2, 3","Paris, France","Paris, France",48.859116,2.331839
95,2 Apr 1950,Paris,France,,,n,SIU Box 15 folder 3,"Paris, France","Paris, France",48.859116,2.331839
96,3 Apr 1950,Paris,France,,,n,SIU Box 15 folder 3,"Paris, France","Paris, France",48.859116,2.331839
97,4 Apr 1950,Paris,France,,,n,SIU Box 15 folder 3,"Paris, France","Paris, France",48.859116,2.331839
98,5 Apr 1950,Paris,France,,,n,SIU Box 15 folder 3,"Paris, France","Paris, France",48.859116,2.331839
99,6 Apr 1950,Paris,France,,,n,SIU Box 15 folder 3,"Paris, France","Paris, France",48.859116,2.331839
100,7 Apr 1950,Paris,France,,,n,SIU Box 15 folder 3,"Paris, France","Paris, France",48.859116,2.331839
101,8 Apr 1950,Paris,France,,,n,SIU Box 15 folder 3,"Paris, France","Paris, France",48.859116,2.331839
102,9 Apr 1950,Paris,France,,,n,,"Paris, France","Paris, France",48.859116,2.331839
103,10 Apr 1950,Paris,France,New York City,USA,n,Pan American Airways Passenger Manifests (from London and from Paris),"Paris, France","Paris, France",48.859116,2.331839
104,11 Apr 1950,New York City,USA,,,n,,"New York City, USA",,,
105,12 Apr 1950,New York City,USA,,,n,,"New York City, USA",,,
106,13 Apr 1950,New York City,USA,,,n,SIU Box 15 folder 3,"New York City, USA",,,
107,14 Apr 1950,New York City,USA,,,y,SIU Box 15 folder 3,"New York City, USA",,,
108,15 Apr 1950,New York City,USA,,,y,"SIU Box 15 folder 3; SIU Box 39 folder 2","New York City, USA",,,
109,16 Apr 1950,New York City,USA,,,y,"SIU Box 15 folder 3; IBDB","New York City, USA",,,
110,17 Apr 1950,New York City,USA,,,y,"SIU Box 15 folder 3; IBDB","New York City, USA",,,
111,18 Apr 1950,New York City,USA,,,y,"SIU Box 15 folder 3; IBDB","New York City, USA",,,
112,19 Apr 1950,New York City,USA,,,y,"SIU program, MHS Box 22 Personal Log; IBDB","New York City, USA",,,
113,20 Apr 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
114,21 Apr 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
115,22 Apr 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
116,23 Apr 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
117,24 Apr 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
118,25 Apr 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
119,26 Apr 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
120,27 Apr 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
121,28 Apr 1950,New York City,USA,,,y,SIU Box 15 folder 5,"New York City, USA",,,
122,29 Apr 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
123,30 Apr 1950,New York City,USA,,,y,SIU Box 39 folder 2,"New York City, USA",,,
124,1 May 1950,New York City,USA,,,y,"SIU program, MHS Box 22 Personal Log","New York City, USA",,,
125,2 May 1950,New York City,USA,,,y,SIU Box 39 folder 2,"New York City, USA",,,
126,3 May 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
127,4 May 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
128,5 May 1950,New York City,USA,,,y,SIU Box 15 folder 5,"New York City, USA",,,
129,6 May 1950,New York City,USA,,,y,SIU Box 15 folder 5,"New York City, USA",,,
130,7 May 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
