,city_1,duration_days,min_date,max_date,lat,lng
0,London,106,1952-01-06,1952-04-20,51.5073509,-0.1277583
1,Paris,88,1951-10-09,1952-01-04,48.856614,2.3522219
2,Port au Prince,81,1951-04-17,1951-07-06,18.594395,-72.3074326
3,Buenos Aires,74,1950-09-01,1950-11-13,-34.6036844,-58.3815591
4,New York City,55,1950-04-12,1950-06-05,40.7127753,-74.0059728
5,Paris,38,1953-01-09,1953-02-15,48.856614,2.3522219
6,Hollywood,38,1953-08-29,1953-10-05,34.0928092,-118.3286614
7,Paris,30,1950-01-01,1950-01-30,48.856614,2.3522219
8,Hollywood,29,1953-07-04,1953-08-01,34.0928092,-118.3286614
9,Rio de Janeiro,26,1950-06-15,1950-07-10,-22.9068467,-43.1728965
10,Kingston,26,1951-03-21,1951-04-15,18.0178743,-76.8099041
11,Copenhagen,24,1952-07-11,1952-08-03,55.6760968,12.5683372
12,Lima,23,1951-01-07,1951-01-29,-12.0463731,-77.042754
13,Port-au-Prince,22,1951-07-08,1951-07-29,,
14,San Francisco,22,1953-05-03,1953-05-24,37.7749295,-122.4194155
15,Mar del Plata,21,1950-12-14,1951-01-03,-38.0054771,-57.5426106
16,Hollywood,21,1953-04-11,1953-05-01,34.0928092,-118.3286614
17,Milan,19,1950-03-02,1950-03-20,45.4642035,9.189982
18,Sao Paulo,18,1950-07-12,1950-07-29,-23.5505199,-46.63330939999999
19,Santiago,17,1950-11-25,1950-12-11,-33.4488897,-70.6692655
20,Las Vegas,17,1951-08-13,1951-08-29,36.1699412,-115.1398296
21,Rio de Janeiro,15,1950-07-31,1950-08-14,-22.9068467,-43.1728965
22,Montevideo,15,1950-08-16,1950-08-30,-34.9011127,-56.16453139999999
23,Barcelona,15,1952-09-16,1952-09-30,41.3850639,2.1734035
24,Bogota,14,1951-02-06,1951-02-19,4.710988599999999,-74.072092
25,Vancouver,14,1953-08-03,1953-08-16,49.2827291,-123.1207375
26,Nottingham,13,1952-05-27,1952-06-08,52.95478319999999,-1.1581086
27,Birmingham,13,1952-06-10,1952-06-22,52.48624299999999,-1.890401
28,Bristol,13,1952-06-24,1952-07-06,51.454513,-2.58791
29,Belfast,12,1952-04-23,1952-05-04,54.59728500000001,-5.93012
30,Bournemouth,12,1952-05-14,1952-05-25,50.719164,-1.880769
31,Paris,11,1950-03-31,1950-04-10,48.856614,2.3522219
32,Caracas,11,1951-03-02,1951-03-12,10.4805937,-66.90360629999999
33,Milan,11,1952-10-03,1952-10-13,45.4642035,9.189982
34,Guadalajara,10,1951-08-01,1951-08-10,20.6596988,-103.3496092
35,Hollywood,10,1951-09-17,1951-09-26,34.0928092,-118.3286614
36,Las Vegas,9,1953-05-26,1953-06-03,36.1699412,-115.1398296
37,Reno,9,1953-06-24,1953-07-02,39.5296329,-119.8138027
38,"Crystal Bay, NV",9,1953-08-19,1953-08-27,39.2278272,-120.0047095
39,Los Angeles,9,1953-10-14,1953-10-22,34.0522342,-118.2436849
40,Rome,8,1950-02-14,1950-02-21,41.9027835,12.4963655
41,Reno,8,1951-08-31,1951-09-07,39.5296329,-119.8138027
42,Marseille,8,1952-11-06,1952-11-13,43.296482,5.36978
43,Paris,8,1953-02-25,1953-03-04,48.856614,2.3522219
44,Hollywood,8,1953-06-09,1953-06-16,34.0928092,-118.3286614
45,Dublin,6,1952-05-06,1952-05-11,53.3498053,-6.2603097
46,Paris,6,1952-08-05,1952-08-10,48.856614,2.3522219
47,Rome,6,1952-10-15,1952-10-20,41.9027835,12.4963655
48,Recife,5,1950-06-09,1950-06-13,-8.0522404,-34.9286096
49,Rome,5,1953-01-02,1953-01-06,41.9027835,12.4963655
50,Cairo,4,1950-02-01,1950-02-04,30.0444196,31.2357116
51,Petion-Ville,4,1951-03-16,1951-03-19,18.5138139,-72.2881907
52,Biarritz,4,1952-08-27,1952-08-30,43.4831519,-1.558626
53,Reno,4,1953-06-18,1953-06-21,39.5296329,-119.8138027
54,Florence,3,1950-02-24,1950-02-26,43.7695604,11.2558136
55,Quito,3,1951-01-31,1951-02-02,-0.1806532,-78.4678382
56,"Santa Margherita, Genoa",3,1952-11-02,1952-11-04,44.3254364,9.1954432
57,Zurich,3,1952-11-18,1952-11-20,47.3768866,8.541694
58,Naples,3,1952-12-07,1952-12-09,40.8517746,14.2681244
59,Venice,2,1950-03-22,1950-03-23,45.4408474,12.3155151
60,Barranquilla,2,1951-02-23,1951-02-24,11.0041072,-74.80698129999999
61,Barranquilla,2,1951-02-27,1951-02-28,11.0041072,-74.80698129999999
62,New York,2,1951-10-03,1951-10-04,40.7127753,-74.0059728
63,London,2,1952-07-08,1952-07-09,51.5073509,-0.1277583
64,Naples,2,1952-10-26,1952-10-27,40.8517746,14.2681244
65,Bern,2,1952-11-15,1952-11-16,46.9479739,7.4474468
66,Palermo,2,1952-11-30,1952-12-01,38.1156879,13.3612671
67,Trieste,2,1952-12-14,1952-12-15,45.6495264,13.7768182
68,Bologna,2,1952-12-25,1952-12-26,44.494887,11.3426162
69,Las Vegas,2,1953-06-06,1953-06-07,36.1699412,-115.1398296
70,Havana,2,1953-10-09,1953-10-10,23.1135925,-82.3665956
71,San Francisco,2,1953-11-02,1953-11-03,37.7749295,-122.4194155
72,Rome,1,1950-02-06,1950-02-05,41.9027835,12.4963655
73,Turin,1,1950-02-07,1950-02-07,45.070312,7.686856499999999
74,Genoa,1,1950-02-09,1950-02-09,44.4056499,8.946256
75,,1,1950-02-11,1950-02-10,36.0545737,-95.923037
76,Naples,1,1950-02-12,1950-02-12,40.8517746,14.2681244
77,,1,1950-02-23,1950-02-22,36.0545737,-95.923037
78,Bologna,1,1950-02-28,1950-02-28,44.494887,11.3426162
79,Milan,1,1950-03-25,1950-03-24,45.4642035,9.189982
80,Piacenza,1,1950-03-26,1950-03-25,45.0526206,9.6929845
81,Brescia,1,1950-03-27,1950-03-26,45.5415526,10.2118019
82,Biella,1,1950-03-28,1950-03-27,45.56288420000001,8.0583397
83,Genoa,1,1950-03-29,1950-03-28,44.4056499,8.946256
84,Milan,1,1950-03-30,1950-03-29,45.4642035,9.189982
85,Belem,1,1950-06-07,1950-06-07,-1.4557292,-48.4901785
86,,1,1950-11-15,1950-11-14,35.2109787,-101.8667601
87,,1,1950-11-16,1950-11-15,35.2109787,-101.8667601
88,,1,1950-11-17,1950-11-16,35.2109787,-101.8667601
89,,1,1950-11-18,1950-11-17,35.2109787,-101.8667601
90,,1,1950-11-19,1950-11-18,35.2109787,-101.8667601
91,,1,1950-11-20,1950-11-19,35.2109787,-101.8667601
92,,1,1950-11-21,1950-11-20,35.2109787,-101.8667601
93,,1,1950-11-22,1950-11-21,35.2109787,-101.8667601
94,,1,1950-11-23,1950-11-22,35.2109787,-101.8667601
95,,1,1950-11-24,1950-11-23,36.0545737,-95.923037
96,Buenos Aires,1,1950-12-13,1950-12-12,-34.6036844,-58.3815591
97,Buenos Aires,1,1951-01-05,1951-01-05,-34.6036844,-58.3815591
98,Cali,1,1951-02-04,1951-02-04,3.4516467,-76.5319854
99,Medellin,1,1951-02-21,1951-02-21,6.244203,-75.5812119
100,Cartagena,1,1951-02-26,1951-02-25,10.3910485,-75.4794257
101,Kingston,1,1951-03-14,1951-03-14,18.0178743,-76.8099041
102,Mexico City,1,1951-07-31,1951-07-30,19.4326077,-99.133208
103,Mexico City,1,1951-08-12,1951-08-11,19.4326077,-99.133208
104,,1,1951-09-09,1951-09-08,35.2109787,-101.8667601
105,,1,1951-09-10,1951-09-09,35.2109787,-101.8667601
106,,1,1951-09-11,1951-09-10,35.2109787,-101.8667601
107,,1,1951-09-12,1951-09-11,35.2109787,-101.8667601
108,,1,1951-09-13,1951-09-12,36.0545737,-95.923037
109,,1,1951-09-14,1951-09-13,35.2109787,-101.8667601
110,,1,1951-09-15,1951-09-14,35.2109787,-101.8667601
