,date,city_1,country_1,city_2,country_2,working,source,location,lat,lng,geocoded_location
0,1950-01-01,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
1,1950-01-02,Paris,France,,,y,,"Paris,France",48.856614,2.3522219,
2,1950-01-03,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 1,"Paris,France",48.856614,2.3522219,
3,1950-01-04,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 2,"Paris,France",48.856614,2.3522219,
4,1950-01-05,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 3,"Paris,France",48.856614,2.3522219,
5,1950-01-06,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 4,"Paris,France",48.856614,2.3522219,
6,1950-01-07,Paris,France,,,y,,"Paris,France",48.856614,2.3522219,
7,1950-01-08,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
8,1950-01-09,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
9,1950-01-10,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
10,1950-01-11,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",,,
11,1950-01-12,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
12,1950-01-13,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
13,1950-01-14,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
14,1950-01-15,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
15,1950-01-16,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
16,1950-01-17,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
17,1950-01-18,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
18,1950-01-19,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
19,1950-01-20,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
20,1950-01-21,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
21,1950-01-22,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
22,1950-01-23,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
23,1950-01-24,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
24,1950-01-25,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
25,1950-01-26,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
26,1950-01-27,Paris,France,,,y,"SIU Box 14 folder 6, 7","Paris,France",48.856614,2.3522219,
27,1950-01-28,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",,,
28,1950-01-29,Paris,France,,,y,SIU Box 14 folder 6,"Paris,France",48.856614,2.3522219,
29,1950-01-30,Paris,France,Cairo ,Egypt,n,TWA flight timetable Nov. 1949 from the collection of Björn Larsson,"Paris,France",48.856614,2.3522219,
30,1950-01-31,Cairo,Egypt,,,n,SIU Box 14 folder 8,"Cairo,Egypt",30.0444196,31.2357116,
31,1950-02-01,Cairo,Egypt,,,n,SIU Box 14 folder 8,"Cairo,Egypt",30.0444196,31.2357116,
32,1950-02-02,Cairo,Egypt,,,n,SIU Box 14 folder 8,"Cairo,Egypt",30.0444196,31.2357116,
33,1950-02-03,Cairo,Egypt,,,n,SIU Box 14 folder 8,"Cairo,Egypt",30.0444196,31.2357116,
34,1950-02-04,Cairo,Egypt,Rome,Italy,n,SIU Box 14 folder 8; AirFrance flight timetable May 1950 from the collection of Björn Larsson,"Cairo,Egypt",,,
35,1950-02-05,Rome,Italy,Turin,Italy,n,SIU Box 14 folder 8,"Rome,Italy",,,
36,1950-02-06,Turin,Italy,,,y,,"Turin,Italy",45.070312,7.686856499999999,
37,1950-02-07,Turin,Italy,,,y,,"Turin,Italy",45.070312,7.686856499999999,
