,date,city_1,country_1,city_2,country_2,working,source,lat_x,lng_x,same,duration_days,min_date,max_date,lat_y,lng_y,returns
0,1950-01-01,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
1,1950-01-01,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
2,1950-01-01,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
3,1950-01-01,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
4,1950-01-01,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
5,1950-01-01,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
6,1950-01-01,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
7,1950-01-01,Paris,France,,,y,SIU Box 14 folder 6,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
8,1950-01-02,Paris,France,,,y,,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
9,1950-01-02,Paris,France,,,y,,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
10,1950-01-02,Paris,France,,,y,,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
11,1950-01-02,Paris,France,,,y,,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
12,1950-01-02,Paris,France,,,y,,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
13,1950-01-02,Paris,France,,,y,,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
14,1950-01-02,Paris,France,,,y,,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
15,1950-01-02,Paris,France,,,y,,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
16,1950-01-03,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 1,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
17,1950-01-03,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 1,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
18,1950-01-03,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 1,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
19,1950-01-03,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 1,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
20,1950-01-03,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 1,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
21,1950-01-03,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 1,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
22,1950-01-03,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 1,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
23,1950-01-03,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 1,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
24,1950-01-04,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 2,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
25,1950-01-04,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 2,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
26,1950-01-04,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 2,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
27,1950-01-04,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 2,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
28,1950-01-04,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 2,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
29,1950-01-04,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 2,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
30,1950-01-04,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 2,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
31,1950-01-04,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 2,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
32,1950-01-05,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 3,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
33,1950-01-05,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 3,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
34,1950-01-05,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 3,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
35,1950-01-05,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 3,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
36,1950-01-05,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 3,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
37,1950-01-05,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 3,48.856614,2.3522219,True,6,1952-08-05,1952-08-10,48.856614,2.3522219,8
38,1950-01-05,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 3,48.856614,2.3522219,True,1,1953-03-27,1953-03-27,48.856614,2.3522219,8
39,1950-01-05,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 3,48.856614,2.3522219,True,1,1953-11-21,1953-11-20,48.856614,2.3522219,8
40,1950-01-06,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 4,48.856614,2.3522219,True,88,1951-10-09,1952-01-04,48.856614,2.3522219,8
41,1950-01-06,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 4,48.856614,2.3522219,True,38,1953-01-09,1953-02-15,48.856614,2.3522219,8
42,1950-01-06,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 4,48.856614,2.3522219,True,30,1950-01-01,1950-01-30,48.856614,2.3522219,8
43,1950-01-06,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 4,48.856614,2.3522219,True,11,1950-03-31,1950-04-10,48.856614,2.3522219,8
44,1950-01-06,Paris,France,,,y,SIU Box 14 folder 6; SIU Box 39 folder 4,48.856614,2.3522219,True,8,1953-02-25,1953-03-04,48.856614,2.3522219,8
